Object ID,Longitude,Latitude,Distance (Parsecs),Name,Diameter (Parsecs)
18218,123.2672,-13.3038,302,Alessi 1,2.10839199
19656,31.6536,-20.9888,513,Alessi 10,1.343033928
19729,67.4656,-11.508,537,Alessi 12,3.124174608
18303,238.5486,-56.9814,100,Alessi 13,2.909702824
19500,40.2164,12.7578,550,Alessi 19,7.03987907
18339,152.2918,6.3292,501,Alessi 2,2.186038761
18186,117.4752,-3.7597,450,Alessi 20,2.618023415
18597,223.437,0.0038,500,Alessi 21,3.054364183
19348,328.8934,-14.7543,500,Alessi 24,9.600490454
18606,257.9214,-15.3777,288,Alessi 3,3.016039197
19424,15.1977,7.6544,650,Alessi 31,3.403423144
18567,237.8828,-9.6045,750,Alessi 33,6.545150843
18758,264.9227,-10.4438,1100,Alessi 34,7.679573474
19818,101.7346,-11.4833,600,Alessi 37,3.141621363
19533,13.9074,-5.601,800,Alessi 40,6.004045351
30727,262.5038,1.4779,850,Alessi 43,5.934215866
19613,40.208,-10.641,500,Alessi 44,5.759841294
19000,288.0832,-2.0497,398,Alessi 5,1.910277535
26828,43.2108,0.967,3900,Alessi 56,1.247910458
26846,50.1969,0.7653,3900,Alessi 57,1.41808008
19237,326.4865,4.2607,575,Alessi 8,2.007136792
19386,344.2881,-8.9685,211,Alessi 9,4.604036378
19836,111.2293,-5.3655,1000,Alessi J2327+55,3.665207842
26943,87.4576,9.2775,550,Alessi-Teutsch 11,2.111858774
26611,330.6618,-10.334,700,Alessi-Teutsch 12,6.719724022
18735,266.4551,-12.8466,800,Alessi-Teutsch 3,5.026614394
19794,104.4508,4.1477,900,Alessi-Teutsch 5,3.298687057
18814,258.2955,0.2747,900,Alessi-Teutsch 7,7.854181012
19081,297.0692,1.3932,650,Alessi-Teutsch 8,2.268937243
18298,155.7355,-17.7959,700,Alessi-Teutsch 9,5.864443484
19359,355.8565,1.6437,1250,Antalova 1,6.36323453
18685,248.1255,-5.8761,13341,Arp-Madore 2,3.880739701
30011,118.1525,0.1971,4000,ASCC 1,13.96269073
